id,name,category,diocese,address,region,lat,lng
비산날뫼성당,비산(날뫼)성당,순교사적지,대구대교구,대구광역시 서구 북비산로67길 31 (비산동),대구,35.8833910721307,128.57081086471
산막골성지--작은재성지,산막골성지 / 작은재성지,순교사적지,대전교구,충청남도 서천군 판교면 금덕길81번길 117,충청남,36.1601871204372,126.709693849056
살티-공소,살티 공소,순례지,부산교구,울산광역시 울주군 상북면 덕현살티길 11,울산,35.6110922195417,129.040916004404
삼성산-성지,삼성산 성지,성지,서울대교구,서울특별시 관악구 호암로 454-16 (신림동),서울,37.4568520028086,126.92914622824
삽티-성지,삽티 성지,순교사적지,대전교구,충청남도 부여군 홍산면 삽티로 489-6,충청남,36.2562601262333,126.744991198437
상주-옥터,상주 옥터,순교사적지,안동교구,경상북도 상주시 남문2길 89-15 (성동동),경상북,36.4139050636844,128.164178566724
신앙-고백비,신앙 고백비,순례지,안동교구,경상북도 상주시 청리면 삼괴3길 108,경상북,36.3663103287236,128.117753617372
새남터-순교성지,새남터 순교성지,성지,서울대교구,서울특별시 용산구 이촌로 80-8 (이촌동),서울,37.5251265802093,126.957071719901
새미-은총의-동산,새미 은총의 동산,순례지,제주교구,제주특별자치도 제주시 한림읍 새미소길 15,제주,33.3478285739475,126.324299269771
새방골성당,새방골성당,순례지,대구대교구,대구광역시 서구 새방로27길 9 (상리동),대구,35.8681365084782,128.528496370115
서소문-밖-네거리-순교성지,서소문 밖 네거리 순교성지,성지,서울대교구,서울특별시 중구 칠패로 5 서소문성지 역사박물관,서울,37.5605678517575,126.968867161039
원동-주교좌성당,원동 주교좌성당,순례지,원주교구,강원특별자치도 원주시 원일로 27,강원,37.3457020154493,127.952631305055
서짓골-성지,서짓골 성지,순교사적지,대전교구,충청남도 보령시 미산면 보령호로 238,충청남,36.2311152264916,126.65839957893
서천교순교터,서천교순교터,순교사적지,전주교구,전북특별자치도 전주시 완산구 전주천서로 189 서완산동1가 351-1 주변,전북,35.812380054082,127.140766213649
왜고개성지,왜고개성지,성지,서울대교구,서울특별시 용산구 한강대로 40길 46,서울,37.5299023906702,126.971925272204
성-남종삼-요한과-가족-순교자-묘소,성 남종삼 요한과 가족 순교자 묘소,순교사적지,의정부교구,경기도 양주시 장흥면 울대리 산 22-2 의령남씨 가족 묘소,경기,37.7376901434302,126.995540839369
성-유스티노-신학교,성 유스티노 신학교,순례지,대구대교구,대구광역시 중구 명륜로12길 47 (남산동),대구,35.8613361583137,128.58751501938
성거산성지,성거산성지,성지,대전교구,충청남도 천안시 서북구 입장면 위례산길 394,충청남,36.8767963053883,127.238992579057
성내동-성당,성내동 성당,순교사적지,원주교구,강원특별자치도 삼척시 성당길 34-84,강원,37.4435731274782,129.162249030421
성모-순례지성모당,성모 순례지(성모당),순례지,인천교구,인천광역시 동구 박문로 1 (송림동),인천,37.4706891169897,126.651839572554
성모당,성모당,순례지,대구대교구,대구광역시 중구 남산로4길 112 (남산동),대구,35.8598438478875,128.587884220211
배론-성지,배론 성지,성지,원주교구,충청북도 제천시 봉양읍 배론성지길 296,충청북,37.1595280670346,128.083880697199
성직자-묘지,성직자 묘지,순례지,대구대교구,대구광역시 중구 남산로4길 112 (남산동),대구,35.8598438478875,128.587884220211
성체-순례-성지,성체 순례 성지,순례지,인천교구,"경기도 김포시 북변로 29-12 (북변동), 김포성당 내",경기,37.6296433071257,126.708292293721
소양로-순례-성당,소양로 순례 성당,순교사적지,춘천교구,강원특별자치도 춘천시 모수물길22번길 26 (소양로2가),강원,37.8877999903352,127.728289679837
손골성지,손골성지,순교사적지,수원교구,경기도 용인시 수지구 동천로437번길 67,경기,37.3442395148356,127.052499754014
솔뫼성지,솔뫼성지,순교사적지,대전교구,충청남도 당진시 우강면 솔뫼로 132,충청남,36.8195253897979,126.786517312664
수리산성지,수리산성지,성지,수원교구,경기도 안양시 만안구 병목안로 408,경기,37.3702389804549,126.905396522251
수리치골-성모성지,수리치골 성모성지,순교사적지,대전교구,충청남도 공주시 신풍면 용수봉갑길 522,충청남,36.5169573797468,126.89712584642
수영-장대-순교-성지,수영 장대 순교 성지,성지,부산교구,부산광역시 수영구 광안동 546-4,부산,35.1592763087983,129.107387750554
수원화성순교성지,수원화성순교성지,성지,수원교구,경기도 수원시 팔달구 정조로 842 (북수동),경기,37.2830666770683,127.016672751932
복자-박대식-빅토리노-묘,복자 박대식 빅토리노 묘,순교사적지,마산교구,경상남도 김해시 진례면 청천리 산 30,경상남,35.2710260827707,128.74101275482
순교자-라-파트리치오-신부-순교터,순교자 라 파트리치오 신부 순교터,순교사적지,춘천교구,강원특별자치도 강릉시 옥계면 낙풍리 산 16-2,강원,37.6348281048325,129.022307073719
순교자의-딸-유섬이-묘,순교자의 딸 유섬이 묘,순례지,마산교구,경상남도 거제시 거제면 내간리 산53-2 (주차: 송곡1길 92),경상남,34.8497419071958,128.554526846137
신나무골-성지,신나무골 성지,성지,대구대교구,경상북도 칠곡군 지천면 칠곡대로 2189-22,경상북,35.9669238228173,128.462034769015
신리성지,신리성지,순교사적지,대전교구,충청남도 당진시 합덕읍 평야6로 135,충청남,36.7626160025731,126.771105162388
신암리-성당,신암리 성당,순교사적지,의정부교구,경기도 양주시 남면 감악산로489번길 27-32,경기,37.9039957333047,126.959900095389
양근성지,양근성지,성지,수원교구,경기도 양평군 양평읍 물안개공원길 37,경기,37.5000183621903,127.474996138143
양양-성지,양양 성지,순교사적지,춘천교구,강원특별자치도 양양군 양양읍 군청길 17,강원,38.0765642722618,128.620711402361
양주-순교성지,양주 순교성지,순교사적지,의정부교구,경기도 양주시 부흥로1399번길 62 (유양동),경기,37.7857833365594,127.032286591819
어농성지,어농성지,성지,수원교구,경기도 이천시 모가면 어농로62번길 148,경기,37.1903182681025,127.429605700328
언양-성당,언양 성당,순례지,부산교구,울산광역시 울주군 언양읍 구교동1길 11,울산,35.5698531624879,129.115135807438
여사울성지,여사울성지,순교사적지,대전교구,충청남도 예산군 신암면 신종여사울길 22,충청남,36.7566889727906,126.823880470938
여산-하늘의-문-성당,여산 하늘의 문 성당,성지,전주교구,전북특별자치도 익산시 여산면 영전길 14,전북,36.0601546545949,127.085140964418
여우목-성지,여우목 성지,순교사적지,안동교구,경상북도 문경시 문경읍 중평리 96,경상북,36.8000583373889,128.211271792566
연풍-순교-성지,연풍 순교 성지,성지,청주교구,충청북도 괴산군 연풍면 중앙로홍문2길 14,충청북,36.7638738503453,127.993875733142
영광순교자기념성당,영광순교자기념성당,순교사적지,광주대교구,전라남도 영광군 영광읍 중앙로2길 40,전라남,35.2727211258486,126.514002784983
오륜대-순교자-성지,오륜대 순교자 성지,성지,부산교구,부산광역시 금정구 오륜대로 106-1 오륜대 순교자 성지 사무실,부산,35.2457017239552,129.100901592687
요당리성지,요당리성지,순교사적지,수원교구,경기도 화성시 양감면 요당길 155,경기,37.0682931220462,126.930325422725
용산예수성심신학교-순례지,용산예수성심신학교 (순례지),순례지,서울대교구,서울특별시 용산구 원효로19길 49 (원효로4가) 성심여자고등학교 내,서울,37.534209370461,126.95459335968
용소막-성당,용소막 성당,순례지,원주교구,강원특별자치도 원주시 신림면 구학산로 1857,강원,37.2122028592964,128.087171537699
용수-성지,용수 성지,순교사적지,제주교구,제주특별자치도 한경면 용수1길 108,제주,33.3228626331132,126.167730757441
우곡-성지,우곡 성지,순례지,안동교구,경상북도 봉화군 봉성면 시거리길 397,경상북,36.9468719661268,128.828893966618
우포도청-터,우포도청 터,순교사적지,서울대교구,서울특별시 종로구 종로 6 (서린동),서울,37.5698416253417,126.978096062325
울산-병영-순교-성지,울산 병영 순교 성지,성지,부산교구,울산광역시 중구 외솔큰길 241,울산,35.5710749165026,129.350524207957
원머리성지,원머리성지,순교사적지,대전교구,충청남도 당진시 신평면 한정리 233,충청남,36.8994872176692,126.791193425014
은이골배마실성지,은이·골배마실성지,순교사적지,수원교구,경기도 용인시 처인구 양지면 은이로 182,경기,37.2159272883431,127.277768675588
의금부-터,의금부 터,순교사적지,서울대교구,서울특별시 종로구 종로 6 (서린동),서울,37.5698416253417,126.978096062325
의정부-주교좌성당,의정부 주교좌성당,순례지,의정부교구,경기도 의정부시 신흥로265번길 27,경기,37.7397350820376,127.041439736974
이승훈-베드로-묘,이승훈 베드로 묘,순교사적지,인천교구,인천광역시 남동구 장수동 산 132-1,인천,37.4553642558465,126.744234422954
춘천교구-주교관과-교육원,춘천교구 주교관과 교육원,순례지,춘천교구,강원특별자치도 춘천시 공지로 300,강원,37.8679979511748,127.731784059121
일만위순교자현양동산,일만위순교자현양동산,순례지,인천교구,인천광역시 강화군 내가면 고비고개로741번길 107,인천,37.714186858117,126.414085487182
